"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11350","Check that panel could be validated","Build Verification Test","Mon Apr 21 14:08:56 GMT 2025","failed","Mon Apr 21 14:09:07 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","46296","Create Lead","Build Verification Test","Mon Apr 21 14:06:13 GMT 2025","passed","Mon Apr 21 14:07:00 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","37692","Create account with several fields specified","Build Verification Test","Mon Apr 21 14:06:59 GMT 2025","passed","Mon Apr 21 14:07:37 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","8969","Account CRUD test in a different language (Spanish)","Build Verification Test","Mon Apr 21 14:08:37 GMT 2025","failed","Mon Apr 21 14:08:46 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","40831","Delete Account","Build Verification Test","Mon Apr 21 14:07:38 GMT 2025","passed","Mon Apr 21 14:08:19 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","36793","Validate data from list view table by column name","Build Verification Test","Mon Apr 21 14:18:56 GMT 2025","passed","Mon Apr 21 14:19:33 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","9237","Delete Contact","Build Verification Test","Mon Apr 21 14:07:16 GMT 2025","failed","Mon Apr 21 14:07:25 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","45046","Delete Lead","Build Verification Test","Mon Apr 21 14:07:00 GMT 2025","passed","Mon Apr 21 14:07:45 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","52476","Edit Account","Build Verification Test","Mon Apr 21 14:08:19 GMT 2025","passed","Mon Apr 21 14:09:12 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","45281","Create Account","Build Verification Test","Mon Apr 21 14:06:13 GMT 2025","passed","Mon Apr 21 14:06:59 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","13345","Check that correct case could be opened from table","Build Verification Test","Mon Apr 21 14:09:20 GMT 2025","passed","Mon Apr 21 14:09:33 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","61964","Create Contact","Build Verification Test","Mon Apr 21 14:06:13 GMT 2025","passed","Mon Apr 21 14:07:15 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","70314","Edit Contact","Build Verification Test","Mon Apr 21 14:07:26 GMT 2025","passed","Mon Apr 21 14:08:36 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","11178","Check that listview sorting exists and works","Build Verification Test","Mon Apr 21 14:09:08 GMT 2025","failed","Mon Apr 21 14:09:19 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","13583","Check that we can click on any button on case detail page","Build Verification Test","Mon Apr 21 14:08:42 GMT 2025","passed","Mon Apr 21 14:08:55 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","609500","Check Error Message","Build Verification Test","Mon Apr 21 14:08:46 GMT 2025","failed","Mon Apr 21 14:18:56 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","14175","Validate data from list view table by index","Build Verification Test","Mon Apr 21 14:19:34 GMT 2025","passed","Mon Apr 21 14:19:48 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","55085","Edit Lead","Build Verification Test","Mon Apr 21 14:07:46 GMT 2025","passed","Mon Apr 21 14:08:41 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","5379","Check that values of cells could be interacted","Build Verification Test","Mon Apr 21 14:09:33 GMT 2025","broken","Mon Apr 21 14:09:39 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
