"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","0","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","1","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","0","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","2","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"broken","Fri Mar 17 11:14:38 GMT 2023","Fri Mar 17 11:14:38 GMT 2023","0","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","setUp","Open browser",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","1","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"broken","Fri Mar 17 11:14:36 GMT 2023","Fri Mar 17 11:14:36 GMT 2023","2","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","setUp","Open browser",""
"skipped","Fri Mar 17 11:14:38 GMT 2023","Fri Mar 17 11:14:38 GMT 2023","0","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","1","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","1","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"skipped","Fri Mar 17 11:14:38 GMT 2023","Fri Mar 17 11:14:38 GMT 2023","9","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","0","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"broken","Fri Mar 17 11:14:36 GMT 2023","Fri Mar 17 11:14:36 GMT 2023","3","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","setUp","Open browser",""
"skipped","Fri Mar 17 11:14:38 GMT 2023","Fri Mar 17 11:14:38 GMT 2023","1","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"skipped","Fri Mar 17 11:14:38 GMT 2023","Fri Mar 17 11:14:38 GMT 2023","1","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"skipped","Fri Mar 17 11:14:37 GMT 2023","Fri Mar 17 11:14:37 GMT 2023","0","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
