"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 05 23:44:34 GMT 2023","Sun Mar 05 23:45:07 GMT 2023","33097","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Sun Mar 05 23:46:56 GMT 2023","Sun Mar 05 23:48:28 GMT 2023","91819","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Sun Mar 05 23:46:52 GMT 2023","Sun Mar 05 23:47:09 GMT 2023","17839","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Sun Mar 05 23:45:31 GMT 2023","Sun Mar 05 23:46:15 GMT 2023","44053","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Sun Mar 05 23:48:28 GMT 2023","Sun Mar 05 23:49:33 GMT 2023","64425","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish","Account CRUD test in a different language (Spanish)",""
"failed","Sun Mar 05 23:47:33 GMT 2023","Sun Mar 05 23:48:03 GMT 2023","30232","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Sun Mar 05 23:47:12 GMT 2023","Sun Mar 05 23:48:23 GMT 2023","70383","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Sun Mar 05 23:48:04 GMT 2023","Sun Mar 05 23:48:45 GMT 2023","40982","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Sun Mar 05 23:45:49 GMT 2023","Sun Mar 05 23:46:55 GMT 2023","66346","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Sun Mar 05 23:47:10 GMT 2023","Sun Mar 05 23:47:32 GMT 2023","21982","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Sun Mar 05 23:48:45 GMT 2023","Sun Mar 05 23:49:36 GMT 2023","50595","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Sun Mar 05 23:45:45 GMT 2023","Sun Mar 05 23:46:31 GMT 2023","46062","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Sun Mar 05 23:45:07 GMT 2023","Sun Mar 05 23:45:44 GMT 2023","37124","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Sun Mar 05 23:46:16 GMT 2023","Sun Mar 05 23:47:12 GMT 2023","55790","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Sun Mar 05 23:49:36 GMT 2023","Sun Mar 05 23:49:53 GMT 2023","16849","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Sun Mar 05 23:44:34 GMT 2023","Sun Mar 05 23:45:48 GMT 2023","74634","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Sun Mar 05 23:44:34 GMT 2023","Sun Mar 05 23:45:31 GMT 2023","57083","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Sun Mar 05 23:46:32 GMT 2023","Sun Mar 05 23:46:51 GMT 2023","18912","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
