"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 20:49:28 GMT 2023","Thu Mar 09 20:49:52 GMT 2023","24026","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Thu Mar 09 20:49:00 GMT 2023","Thu Mar 09 20:50:30 GMT 2023","89676","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Thu Mar 09 20:50:48 GMT 2023","Thu Mar 09 20:51:40 GMT 2023","52301","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Thu Mar 09 20:47:35 GMT 2023","Thu Mar 09 20:48:15 GMT 2023","40744","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Thu Mar 09 20:50:07 GMT 2023","Thu Mar 09 20:50:47 GMT 2023","40530","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Thu Mar 09 20:46:35 GMT 2023","Thu Mar 09 20:47:10 GMT 2023","35476","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Thu Mar 09 20:50:30 GMT 2023","Thu Mar 09 20:51:26 GMT 2023","55243","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish","Account CRUD test in a different language (Spanish)",""
"passed","Thu Mar 09 20:47:57 GMT 2023","Thu Mar 09 20:48:50 GMT 2023","53622","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Thu Mar 09 20:46:35 GMT 2023","Thu Mar 09 20:47:49 GMT 2023","74494","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Thu Mar 09 20:47:11 GMT 2023","Thu Mar 09 20:47:56 GMT 2023","45578","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Thu Mar 09 20:51:40 GMT 2023","Thu Mar 09 20:51:57 GMT 2023","16185","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Thu Mar 09 20:46:35 GMT 2023","Thu Mar 09 20:47:34 GMT 2023","59373","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Thu Mar 09 20:49:09 GMT 2023","Thu Mar 09 20:50:19 GMT 2023","69943","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Thu Mar 09 20:47:50 GMT 2023","Thu Mar 09 20:48:59 GMT 2023","69447","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Thu Mar 09 20:48:16 GMT 2023","Thu Mar 09 20:49:08 GMT 2023","52254","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"broken","Thu Mar 09 20:49:52 GMT 2023","Thu Mar 09 20:50:06 GMT 2023","13432","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Thu Mar 09 20:48:51 GMT 2023","Thu Mar 09 20:49:07 GMT 2023","16166","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Thu Mar 09 20:49:08 GMT 2023","Thu Mar 09 20:49:27 GMT 2023","18811","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
