"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 08:39:37 GMT 2023","Fri Feb 17 08:40:40 GMT 2023","63162","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Fri Feb 17 08:39:31 GMT 2023","Fri Feb 17 08:40:14 GMT 2023","42474","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Fri Feb 17 08:42:00 GMT 2023","Fri Feb 17 08:42:22 GMT 2023","21826","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Fri Feb 17 08:38:40 GMT 2023","Fri Feb 17 08:39:30 GMT 2023","50100","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Fri Feb 17 08:42:02 GMT 2023","Fri Feb 17 08:42:26 GMT 2023","23671","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Fri Feb 17 08:39:32 GMT 2023","Fri Feb 17 08:40:05 GMT 2023","33172","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Fri Feb 17 08:41:19 GMT 2023","Fri Feb 17 08:41:39 GMT 2023","20609","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"failed","Fri Feb 17 08:40:48 GMT 2023","Fri Feb 17 08:41:33 GMT 2023","45126","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Fri Feb 17 08:42:26 GMT 2023","Fri Feb 17 08:42:46 GMT 2023","20191","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Fri Feb 17 08:41:40 GMT 2023","Fri Feb 17 08:42:00 GMT 2023","19600","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Fri Feb 17 08:38:40 GMT 2023","Fri Feb 17 08:39:37 GMT 2023","56597","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Fri Feb 17 08:42:23 GMT 2023","Fri Feb 17 08:42:46 GMT 2023","23272","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Fri Feb 17 08:40:41 GMT 2023","Fri Feb 17 08:42:05 GMT 2023","83841","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Fri Feb 17 08:40:06 GMT 2023","Fri Feb 17 08:40:47 GMT 2023","41551","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Fri Feb 17 08:38:40 GMT 2023","Fri Feb 17 08:39:31 GMT 2023","50983","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Fri Feb 17 08:40:14 GMT 2023","Fri Feb 17 08:41:18 GMT 2023","63646","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Fri Feb 17 08:41:34 GMT 2023","Fri Feb 17 08:42:01 GMT 2023","27473","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
