"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15265","Check that we can click on any button on case detail page","Build Verification Test","Thu May 08 10:13:00 GMT 2025","passed","Thu May 08 10:13:15 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","12580","Check Error Message","Build Verification Test","Thu May 08 10:13:54 GMT 2025","passed","Thu May 08 10:14:07 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","58116","Edit Contact","Build Verification Test","Thu May 08 10:12:41 GMT 2025","passed","Thu May 08 10:13:39 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","37622","Create Contact","Build Verification Test","Thu May 08 10:11:28 GMT 2025","passed","Thu May 08 10:12:06 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","57764","Validate data from list view table by column name","Build Verification Test","Thu May 08 10:14:07 GMT 2025","passed","Thu May 08 10:15:05 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","30318","Create account with several fields specified","Build Verification Test","Thu May 08 10:12:02 GMT 2025","broken","Thu May 08 10:12:32 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","39695","Delete Account","Build Verification Test","Thu May 08 10:12:33 GMT 2025","failed","Thu May 08 10:13:12 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","42975","Account CRUD test in a different language (Spanish)","Build Verification Test","Thu May 08 10:13:40 GMT 2025","passed","Thu May 08 10:14:23 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","13285","Check that listview sorting exists and works","Build Verification Test","Thu May 08 10:13:26 GMT 2025","passed","Thu May 08 10:13:40 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","23658","Check that values of cells could be interacted","Build Verification Test","Thu May 08 10:14:05 GMT 2025","passed","Thu May 08 10:14:28 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","33538","Delete Contact","Build Verification Test","Thu May 08 10:12:06 GMT 2025","passed","Thu May 08 10:12:40 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","40048","Edit Account","Build Verification Test","Thu May 08 10:13:13 GMT 2025","passed","Thu May 08 10:13:53 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","33244","Create Account","Build Verification Test","Thu May 08 10:11:28 GMT 2025","passed","Thu May 08 10:12:01 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","29359","Create Lead","Build Verification Test","Thu May 08 10:11:28 GMT 2025","passed","Thu May 08 10:11:57 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","22250","Delete Lead","Build Verification Test","Thu May 08 10:11:58 GMT 2025","passed","Thu May 08 10:12:21 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","37826","Validate data from list view table by index","Build Verification Test","Thu May 08 10:15:06 GMT 2025","failed","Thu May 08 10:15:43 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","23462","Check that correct case could be opened from table","Build Verification Test","Thu May 08 10:13:40 GMT 2025","passed","Thu May 08 10:14:04 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","38273","Edit Lead","Build Verification Test","Thu May 08 10:12:21 GMT 2025","passed","Thu May 08 10:13:00 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","9479","Check that panel could be validated","Build Verification Test","Thu May 08 10:13:16 GMT 2025","passed","Thu May 08 10:13:26 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
