"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 18:13:08 GMT 2023","Thu Feb 16 18:13:56 GMT 2023","48115","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Thu Feb 16 18:14:47 GMT 2023","Thu Feb 16 18:15:10 GMT 2023","22982","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Thu Feb 16 18:11:35 GMT 2023","Thu Feb 16 18:12:15 GMT 2023","40330","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Thu Feb 16 18:12:13 GMT 2023","Thu Feb 16 18:12:45 GMT 2023","31317","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Thu Feb 16 18:14:20 GMT 2023","Thu Feb 16 18:14:47 GMT 2023","27055","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Thu Feb 16 18:12:45 GMT 2023","Thu Feb 16 18:13:42 GMT 2023","56227","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Thu Feb 16 18:13:57 GMT 2023","Thu Feb 16 18:14:15 GMT 2023","18015","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Thu Feb 16 18:12:28 GMT 2023","Thu Feb 16 18:13:19 GMT 2023","50571","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Thu Feb 16 18:12:15 GMT 2023","Thu Feb 16 18:12:35 GMT 2023","19560","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Thu Feb 16 18:14:41 GMT 2023","Thu Feb 16 18:14:59 GMT 2023","18031","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Thu Feb 16 18:13:19 GMT 2023","Thu Feb 16 18:14:42 GMT 2023","83068","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Thu Feb 16 18:12:36 GMT 2023","Thu Feb 16 18:13:07 GMT 2023","31798","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Thu Feb 16 18:11:35 GMT 2023","Thu Feb 16 18:12:13 GMT 2023","38012","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Thu Feb 16 18:14:02 GMT 2023","Thu Feb 16 18:14:19 GMT 2023","17327","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Thu Feb 16 18:11:35 GMT 2023","Thu Feb 16 18:12:27 GMT 2023","52693","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Thu Feb 16 18:14:16 GMT 2023","Thu Feb 16 18:14:40 GMT 2023","24285","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Thu Feb 16 18:13:43 GMT 2023","Thu Feb 16 18:14:01 GMT 2023","18804","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
