"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19642","Check that panel could be validated","Build Verification Test","Mon Mar 17 11:53:02 GMT 2025","passed","Mon Mar 17 11:53:22 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","23793","Edit Account","Build Verification Test","Mon Mar 17 11:52:19 GMT 2025","failed","Mon Mar 17 11:52:42 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","19820","Check that correct case could be opened from table","Build Verification Test","Mon Mar 17 11:53:37 GMT 2025","passed","Mon Mar 17 11:53:57 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","54994","Create Contact","Build Verification Test","Mon Mar 17 11:50:38 GMT 2025","passed","Mon Mar 17 11:51:33 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","24538","Create account with several fields specified","Build Verification Test","Mon Mar 17 11:51:28 GMT 2025","failed","Mon Mar 17 11:51:53 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","20801","Check that values of cells could be interacted","Build Verification Test","Mon Mar 17 11:53:58 GMT 2025","passed","Mon Mar 17 11:54:18 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","46885","Create Lead","Build Verification Test","Mon Mar 17 11:50:38 GMT 2025","passed","Mon Mar 17 11:51:25 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","24300","Delete Contact","Build Verification Test","Mon Mar 17 11:51:34 GMT 2025","failed","Mon Mar 17 11:51:58 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","15756","Validate data from list view table by index","Build Verification Test","Mon Mar 17 11:54:20 GMT 2025","passed","Mon Mar 17 11:54:36 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","46768","Validate data from list view table by column name","Build Verification Test","Mon Mar 17 11:53:33 GMT 2025","passed","Mon Mar 17 11:54:19 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","43515","Delete Lead","Build Verification Test","Mon Mar 17 11:51:26 GMT 2025","passed","Mon Mar 17 11:52:10 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","18599","Check that we can click on any button on case detail page","Build Verification Test","Mon Mar 17 11:52:43 GMT 2025","passed","Mon Mar 17 11:53:02 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","24733","Delete Account","Build Verification Test","Mon Mar 17 11:51:53 GMT 2025","failed","Mon Mar 17 11:52:18 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","36901","Check Error Message","Build Verification Test","Mon Mar 17 11:52:55 GMT 2025","passed","Mon Mar 17 11:53:32 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","74175","Edit Contact","Build Verification Test","Mon Mar 17 11:51:59 GMT 2025","passed","Mon Mar 17 11:53:13 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","45560","Account CRUD test in a different language (Spanish)","Build Verification Test","Mon Mar 17 11:53:14 GMT 2025","passed","Mon Mar 17 11:53:59 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","13780","Check that listview sorting exists and works","Build Verification Test","Mon Mar 17 11:53:23 GMT 2025","passed","Mon Mar 17 11:53:36 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","44053","Edit Lead","Build Verification Test","Mon Mar 17 11:52:10 GMT 2025","passed","Mon Mar 17 11:52:54 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","48919","Create Account","Build Verification Test","Mon Mar 17 11:50:38 GMT 2025","passed","Mon Mar 17 11:51:27 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
