"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 23 15:09:20 GMT 2023","Mon Jan 23 15:09:47 GMT 2023","27233","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Mon Jan 23 15:08:38 GMT 2023","Mon Jan 23 15:10:11 GMT 2023","93710","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Mon Jan 23 15:10:51 GMT 2023","Mon Jan 23 15:11:06 GMT 2023","15011","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Mon Jan 23 15:08:57 GMT 2023","Mon Jan 23 15:09:58 GMT 2023","60847","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Mon Jan 23 15:10:31 GMT 2023","Mon Jan 23 15:10:51 GMT 2023","19527","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Mon Jan 23 15:08:54 GMT 2023","Mon Jan 23 15:09:19 GMT 2023","25071","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Mon Jan 23 15:07:34 GMT 2023","Mon Jan 23 15:08:10 GMT 2023","36344","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Mon Jan 23 15:06:41 GMT 2023","Mon Jan 23 15:07:23 GMT 2023","41441","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Mon Jan 23 15:10:13 GMT 2023","Mon Jan 23 15:10:39 GMT 2023","25755","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Mon Jan 23 15:06:41 GMT 2023","Mon Jan 23 15:07:39 GMT 2023","57752","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Mon Jan 23 15:08:03 GMT 2023","Mon Jan 23 15:08:53 GMT 2023","50445","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Mon Jan 23 15:09:59 GMT 2023","Mon Jan 23 15:10:31 GMT 2023","31326","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Mon Jan 23 15:09:48 GMT 2023","Mon Jan 23 15:10:13 GMT 2023","25160","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Mon Jan 23 15:07:40 GMT 2023","Mon Jan 23 15:08:37 GMT 2023","57517","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Mon Jan 23 15:06:41 GMT 2023","Mon Jan 23 15:07:33 GMT 2023","51806","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Mon Jan 23 15:07:23 GMT 2023","Mon Jan 23 15:08:02 GMT 2023","38543","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Mon Jan 23 15:08:11 GMT 2023","Mon Jan 23 15:08:57 GMT 2023","46011","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
