"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14736","Create account with several fields specified","Build Verification Test","Thu May 29 09:02:13 GMT 2025","passed","Thu May 29 09:02:28 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","94996","Edit Contact","Build Verification Test","Thu May 29 09:02:55 GMT 2025","passed","Thu May 29 09:04:30 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","21641","Delete Account","Build Verification Test","Thu May 29 09:02:29 GMT 2025","passed","Thu May 29 09:02:50 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","26603","Create Account","Build Verification Test","Thu May 29 09:01:46 GMT 2025","passed","Thu May 29 09:02:12 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","24111","Delete Lead","Build Verification Test","Thu May 29 09:02:11 GMT 2025","passed","Thu May 29 09:02:35 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","42181","Check Error Message","Build Verification Test","Thu May 29 09:03:25 GMT 2025","passed","Thu May 29 09:04:07 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","33071","Check that values of cells could be interacted","Build Verification Test","Thu May 29 09:04:29 GMT 2025","failed","Thu May 29 09:05:02 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","33547","Check that listview sorting exists and works","Build Verification Test","Thu May 29 09:03:39 GMT 2025","failed","Thu May 29 09:04:12 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","24533","Create Lead","Build Verification Test","Thu May 29 09:01:46 GMT 2025","passed","Thu May 29 09:02:10 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","15923","Validate data from list view table by index","Build Verification Test","Thu May 29 09:04:41 GMT 2025","passed","Thu May 29 09:04:56 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","37521","Edit Lead","Build Verification Test","Thu May 29 09:02:36 GMT 2025","passed","Thu May 29 09:03:14 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","9688","Check that panel could be validated","Build Verification Test","Thu May 29 09:03:29 GMT 2025","passed","Thu May 29 09:03:38 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","32613","Edit Account","Build Verification Test","Thu May 29 09:02:51 GMT 2025","passed","Thu May 29 09:03:24 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","35132","Create Contact","Build Verification Test","Thu May 29 09:01:46 GMT 2025","passed","Thu May 29 09:02:21 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","32589","Validate data from list view table by column name","Build Verification Test","Thu May 29 09:04:07 GMT 2025","failed","Thu May 29 09:04:40 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","32613","Delete Contact","Build Verification Test","Thu May 29 09:02:21 GMT 2025","passed","Thu May 29 09:02:54 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","28687","Account CRUD test in a different language (Spanish)","Build Verification Test","Thu May 29 09:04:30 GMT 2025","passed","Thu May 29 09:04:59 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","15744","Check that correct case could be opened from table","Build Verification Test","Thu May 29 09:04:13 GMT 2025","passed","Thu May 29 09:04:29 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","13607","Check that we can click on any button on case detail page","Build Verification Test","Thu May 29 09:03:14 GMT 2025","passed","Thu May 29 09:03:28 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
