"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 12 11:32:40 GMT 2023","Thu Jan 12 11:32:40 GMT 2023","1","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","setUp","Open browser",""
"passed","Thu Jan 12 11:30:35 GMT 2023","Thu Jan 12 11:31:30 GMT 2023","54731","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Thu Jan 12 11:29:42 GMT 2023","Thu Jan 12 11:30:35 GMT 2023","52483","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"skipped","Thu Jan 12 11:32:40 GMT 2023","Thu Jan 12 11:32:40 GMT 2023","3","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Thu Jan 12 11:32:26 GMT 2023","Thu Jan 12 11:32:50 GMT 2023","23823","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Thu Jan 12 11:30:19 GMT 2023","Thu Jan 12 11:30:50 GMT 2023","30208","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Thu Jan 12 11:29:42 GMT 2023","Thu Jan 12 11:30:19 GMT 2023","36434","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Thu Jan 12 11:31:31 GMT 2023","Thu Jan 12 11:31:46 GMT 2023","15057","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Thu Jan 12 11:30:50 GMT 2023","Thu Jan 12 11:31:30 GMT 2023","39808","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Thu Jan 12 11:31:31 GMT 2023","Thu Jan 12 11:32:38 GMT 2023","67397","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Thu Jan 12 11:30:30 GMT 2023","Thu Jan 12 11:31:02 GMT 2023","32247","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Thu Jan 12 11:29:42 GMT 2023","Thu Jan 12 11:30:29 GMT 2023","46892","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"skipped","Thu Jan 12 11:32:40 GMT 2023","Thu Jan 12 11:32:40 GMT 2023","2","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Thu Jan 12 11:31:47 GMT 2023","Thu Jan 12 11:32:01 GMT 2023","14679","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Thu Jan 12 11:32:02 GMT 2023","Thu Jan 12 11:32:25 GMT 2023","23820","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
