"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39917","Edit Lead","Build Verification Test","Wed May 21 08:28:16 GMT 2025","passed","Wed May 21 08:28:56 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","9199","Check that panel could be validated","Build Verification Test","Wed May 21 08:29:12 GMT 2025","passed","Wed May 21 08:29:21 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","22815","Delete Contact","Build Verification Test","Wed May 21 08:27:52 GMT 2025","failed","Wed May 21 08:28:15 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","42128","Validate data from list view table by column name","Build Verification Test","Wed May 21 08:30:28 GMT 2025","passed","Wed May 21 08:31:10 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","27821","Create Lead","Build Verification Test","Wed May 21 08:26:54 GMT 2025","passed","Wed May 21 08:27:22 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","57230","Create Contact","Build Verification Test","Wed May 21 08:26:54 GMT 2025","passed","Wed May 21 08:27:51 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","21230","Check that values of cells could be interacted","Build Verification Test","Wed May 21 08:29:55 GMT 2025","failed","Wed May 21 08:30:16 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","14706","Validate data from list view table by index","Build Verification Test","Wed May 21 08:31:10 GMT 2025","passed","Wed May 21 08:31:25 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","14417","Check that we can click on any button on case detail page","Build Verification Test","Wed May 21 08:28:57 GMT 2025","passed","Wed May 21 08:29:11 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","27695","Create Account","Build Verification Test","Wed May 21 08:26:54 GMT 2025","passed","Wed May 21 08:27:22 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","68584","Edit Contact","Build Verification Test","Wed May 21 08:28:16 GMT 2025","passed","Wed May 21 08:29:24 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","12344","Check that listview sorting exists and works","Build Verification Test","Wed May 21 08:29:22 GMT 2025","passed","Wed May 21 08:29:34 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","49747","Create account with several fields specified","Build Verification Test","Wed May 21 08:27:23 GMT 2025","failed","Wed May 21 08:28:13 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","24076","Delete Account","Build Verification Test","Wed May 21 08:28:13 GMT 2025","passed","Wed May 21 08:28:37 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","66290","Edit Account","Build Verification Test","Wed May 21 08:28:38 GMT 2025","passed","Wed May 21 08:29:45 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","52285","Delete Lead","Build Verification Test","Wed May 21 08:27:23 GMT 2025","passed","Wed May 21 08:28:15 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","50994","Account CRUD test in a different language (Spanish)","Build Verification Test","Wed May 21 08:29:25 GMT 2025","passed","Wed May 21 08:30:16 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","41756","Check Error Message","Build Verification Test","Wed May 21 08:29:45 GMT 2025","passed","Wed May 21 08:30:27 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","19337","Check that correct case could be opened from table","Build Verification Test","Wed May 21 08:29:35 GMT 2025","passed","Wed May 21 08:29:54 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
