"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 14:45:14 GMT 2023","Tue Feb 28 14:45:37 GMT 2023","23549","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"failed","Tue Feb 28 14:46:15 GMT 2023","Tue Feb 28 14:46:46 GMT 2023","31577","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Tue Feb 28 14:47:40 GMT 2023","Tue Feb 28 14:48:00 GMT 2023","20383","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Tue Feb 28 14:43:50 GMT 2023","Tue Feb 28 14:45:01 GMT 2023","70570","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Tue Feb 28 14:46:36 GMT 2023","Tue Feb 28 14:47:03 GMT 2023","26220","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Tue Feb 28 14:42:49 GMT 2023","Tue Feb 28 14:43:30 GMT 2023","41747","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Tue Feb 28 14:45:38 GMT 2023","Tue Feb 28 14:46:04 GMT 2023","26281","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Tue Feb 28 14:43:41 GMT 2023","Tue Feb 28 14:44:16 GMT 2023","34231","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Tue Feb 28 14:42:49 GMT 2023","Tue Feb 28 14:43:50 GMT 2023","61109","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Tue Feb 28 14:43:32 GMT 2023","Tue Feb 28 14:44:11 GMT 2023","39419","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Tue Feb 28 14:44:16 GMT 2023","Tue Feb 28 14:45:05 GMT 2023","49280","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Tue Feb 28 14:44:12 GMT 2023","Tue Feb 28 14:45:13 GMT 2023","60896","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Tue Feb 28 14:45:06 GMT 2023","Tue Feb 28 14:46:14 GMT 2023","67717","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Tue Feb 28 14:46:47 GMT 2023","Tue Feb 28 14:47:39 GMT 2023","52387","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Tue Feb 28 14:46:05 GMT 2023","Tue Feb 28 14:46:36 GMT 2023","30731","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Tue Feb 28 14:42:49 GMT 2023","Tue Feb 28 14:43:40 GMT 2023","51727","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Tue Feb 28 14:45:02 GMT 2023","Tue Feb 28 14:46:36 GMT 2023","93411","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
