"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24197","Delete Account","Build Verification Test","Thu May 22 08:40:28 GMT 2025","passed","Thu May 22 08:40:53 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","13779","Validate data from list view table by index","Build Verification Test","Thu May 22 08:42:34 GMT 2025","passed","Thu May 22 08:42:47 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","15954","Check that values of cells could be interacted","Build Verification Test","Thu May 22 08:42:20 GMT 2025","failed","Thu May 22 08:42:36 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","35859","Edit Account","Build Verification Test","Thu May 22 08:40:53 GMT 2025","passed","Thu May 22 08:41:29 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","30272","Create Lead","Build Verification Test","Thu May 22 08:39:39 GMT 2025","passed","Thu May 22 08:40:10 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","17999","Check that correct case could be opened from table","Build Verification Test","Thu May 22 08:42:01 GMT 2025","passed","Thu May 22 08:42:19 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","17834","Create account with several fields specified","Build Verification Test","Thu May 22 08:40:10 GMT 2025","passed","Thu May 22 08:40:28 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","28966","Delete Lead","Build Verification Test","Thu May 22 08:40:10 GMT 2025","passed","Thu May 22 08:40:39 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","33481","Delete Contact","Build Verification Test","Thu May 22 08:40:19 GMT 2025","passed","Thu May 22 08:40:53 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","14697","Check that we can click on any button on case detail page","Build Verification Test","Thu May 22 08:41:20 GMT 2025","passed","Thu May 22 08:41:35 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","10542","Check that panel could be validated","Build Verification Test","Thu May 22 08:41:36 GMT 2025","passed","Thu May 22 08:41:46 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","64209","Edit Contact","Build Verification Test","Thu May 22 08:40:54 GMT 2025","passed","Thu May 22 08:41:58 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","13256","Check that listview sorting exists and works","Build Verification Test","Thu May 22 08:41:47 GMT 2025","passed","Thu May 22 08:42:00 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","29648","Create Account","Build Verification Test","Thu May 22 08:39:39 GMT 2025","passed","Thu May 22 08:40:09 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","39130","Edit Lead","Build Verification Test","Thu May 22 08:40:40 GMT 2025","passed","Thu May 22 08:41:19 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","28203","Account CRUD test in a different language (Spanish)","Build Verification Test","Thu May 22 08:41:59 GMT 2025","failed","Thu May 22 08:42:27 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","15879","Check Error Message","Build Verification Test","Thu May 22 08:41:30 GMT 2025","passed","Thu May 22 08:41:46 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","46275","Validate data from list view table by column name","Build Verification Test","Thu May 22 08:41:47 GMT 2025","passed","Thu May 22 08:42:33 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","39154","Create Contact","Build Verification Test","Thu May 22 08:39:39 GMT 2025","passed","Thu May 22 08:40:18 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
