"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jan 05 09:43:40 GMT 2023","Thu Jan 05 09:43:40 GMT 2023","0","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Thu Jan 05 09:42:09 GMT 2023","Thu Jan 05 09:42:45 GMT 2023","35459","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"skipped","Thu Jan 05 09:43:40 GMT 2023","Thu Jan 05 09:43:40 GMT 2023","0","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Thu Jan 05 09:42:45 GMT 2023","Thu Jan 05 09:43:38 GMT 2023","52020","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Thu Jan 05 09:42:34 GMT 2023","Thu Jan 05 09:43:10 GMT 2023","36122","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Thu Jan 05 09:43:10 GMT 2023","Thu Jan 05 09:43:21 GMT 2023","10389","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"broken","Thu Jan 05 09:43:40 GMT 2023","Thu Jan 05 09:43:40 GMT 2023","0","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","setUp","Open browser",""
"skipped","Thu Jan 05 09:43:40 GMT 2023","Thu Jan 05 09:43:40 GMT 2023","1","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Thu Jan 05 09:42:04 GMT 2023","Thu Jan 05 09:42:33 GMT 2023","29215","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Thu Jan 05 09:41:26 GMT 2023","Thu Jan 05 09:42:02 GMT 2023","35915","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Thu Jan 05 09:43:21 GMT 2023","Thu Jan 05 09:43:33 GMT 2023","11522","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Thu Jan 05 09:41:26 GMT 2023","Thu Jan 05 09:42:03 GMT 2023","37433","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"broken","Thu Jan 05 09:45:11 GMT 2023","Thu Jan 05 09:45:11 GMT 2023","0","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","setUp","Open browser",""
"skipped","Thu Jan 05 09:45:11 GMT 2023","Thu Jan 05 09:45:11 GMT 2023","0","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Thu Jan 05 09:41:26 GMT 2023","Thu Jan 05 09:42:09 GMT 2023","42938","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
