"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40069","Delete Contact","Build Verification Test","Tue Apr 15 08:53:57 GMT 2025","passed","Tue Apr 15 08:54:37 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","45304","Validate data from list view table by column name","Build Verification Test","Tue Apr 15 08:56:18 GMT 2025","passed","Tue Apr 15 08:57:03 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","15707","Check that we can click on any button on case detail page","Build Verification Test","Tue Apr 15 08:55:51 GMT 2025","passed","Tue Apr 15 08:56:06 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","40067","Delete Account","Build Verification Test","Tue Apr 15 08:54:52 GMT 2025","passed","Tue Apr 15 08:55:32 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","35903","Create account with several fields specified","Build Verification Test","Tue Apr 15 08:54:15 GMT 2025","passed","Tue Apr 15 08:54:51 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","27498","Create Contact","Build Verification Test","Tue Apr 15 08:53:29 GMT 2025","failed","Tue Apr 15 08:53:56 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","10265","Check that listview sorting exists and works","Build Verification Test","Tue Apr 15 08:56:18 GMT 2025","passed","Tue Apr 15 08:56:28 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","52634","Edit Account","Build Verification Test","Tue Apr 15 08:55:32 GMT 2025","passed","Tue Apr 15 08:56:25 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","52567","Edit Lead","Build Verification Test","Tue Apr 15 08:54:57 GMT 2025","passed","Tue Apr 15 08:55:50 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","44765","Create Lead","Build Verification Test","Tue Apr 15 08:53:29 GMT 2025","passed","Tue Apr 15 08:54:14 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","14811","Validate data from list view table by index","Build Verification Test","Tue Apr 15 08:57:04 GMT 2025","passed","Tue Apr 15 08:57:18 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","42456","Delete Lead","Build Verification Test","Tue Apr 15 08:54:14 GMT 2025","passed","Tue Apr 15 08:54:57 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","12037","Check Error Message","Build Verification Test","Tue Apr 15 08:56:05 GMT 2025","passed","Tue Apr 15 08:56:17 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","10216","Check that panel could be validated","Build Verification Test","Tue Apr 15 08:56:07 GMT 2025","passed","Tue Apr 15 08:56:17 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","42395","Edit Contact","Build Verification Test","Tue Apr 15 08:54:38 GMT 2025","failed","Tue Apr 15 08:55:20 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","43663","Account CRUD test in a different language (Spanish)","Build Verification Test","Tue Apr 15 08:55:20 GMT 2025","passed","Tue Apr 15 08:56:04 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","16804","Check that correct case could be opened from table","Build Verification Test","Tue Apr 15 08:56:29 GMT 2025","passed","Tue Apr 15 08:56:46 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","22851","Check that values of cells could be interacted","Build Verification Test","Tue Apr 15 08:56:46 GMT 2025","failed","Tue Apr 15 08:57:09 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","45783","Create Account","Build Verification Test","Tue Apr 15 08:53:29 GMT 2025","passed","Tue Apr 15 08:54:15 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
