"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 21:55:14 GMT 2023","Thu Mar 09 21:55:58 GMT 2023","43740","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Thu Mar 09 22:00:41 GMT 2023","Thu Mar 09 22:01:37 GMT 2023","55762","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"failed","Thu Mar 09 21:55:14 GMT 2023","Thu Mar 09 21:56:24 GMT 2023","70401","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Thu Mar 09 21:56:25 GMT 2023","Thu Mar 09 21:57:13 GMT 2023","47413","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Thu Mar 09 21:58:02 GMT 2023","Thu Mar 09 22:00:02 GMT 2023","119282","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Thu Mar 09 22:00:02 GMT 2023","Thu Mar 09 22:00:41 GMT 2023","38137","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Thu Mar 09 21:55:59 GMT 2023","Thu Mar 09 21:56:47 GMT 2023","48102","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Thu Mar 09 21:59:23 GMT 2023","Thu Mar 09 22:00:04 GMT 2023","40541","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Thu Mar 09 21:55:14 GMT 2023","Thu Mar 09 21:56:35 GMT 2023","80734","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Thu Mar 09 21:58:25 GMT 2023","Thu Mar 09 21:59:51 GMT 2023","86811","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Thu Mar 09 21:56:48 GMT 2023","Thu Mar 09 21:58:00 GMT 2023","72655","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Thu Mar 09 21:56:36 GMT 2023","Thu Mar 09 21:58:02 GMT 2023","85959","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Thu Mar 09 22:01:37 GMT 2023","Thu Mar 09 22:01:56 GMT 2023","18662","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Thu Mar 09 21:58:47 GMT 2023","Thu Mar 09 21:59:23 GMT 2023","35391","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Thu Mar 09 21:58:02 GMT 2023","Thu Mar 09 21:58:25 GMT 2023","23128","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Thu Mar 09 21:57:14 GMT 2023","Thu Mar 09 21:58:24 GMT 2023","69966","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Thu Mar 09 21:59:52 GMT 2023","Thu Mar 09 22:01:01 GMT 2023","68498","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.SpanishLanguageTest","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish","Account CRUD test in a different language (Spanish)",""
"passed","Thu Mar 09 21:58:25 GMT 2023","Thu Mar 09 21:58:46 GMT 2023","20969","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
