"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 24 11:08:40 GMT 2023","Tue Jan 24 11:09:07 GMT 2023","27844","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Tue Jan 24 11:04:31 GMT 2023","Tue Jan 24 11:05:30 GMT 2023","59666","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Tue Jan 24 11:07:15 GMT 2023","Tue Jan 24 11:07:41 GMT 2023","26070","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Tue Jan 24 11:06:04 GMT 2023","Tue Jan 24 11:07:14 GMT 2023","69739","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Tue Jan 24 11:08:57 GMT 2023","Tue Jan 24 11:09:22 GMT 2023","25227","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Tue Jan 24 11:06:56 GMT 2023","Tue Jan 24 11:08:36 GMT 2023","100700","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Tue Jan 24 11:05:41 GMT 2023","Tue Jan 24 11:06:55 GMT 2023","73689","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Tue Jan 24 11:07:42 GMT 2023","Tue Jan 24 11:08:08 GMT 2023","26556","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Tue Jan 24 11:07:08 GMT 2023","Tue Jan 24 11:08:18 GMT 2023","70331","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Tue Jan 24 11:08:09 GMT 2023","Tue Jan 24 11:08:39 GMT 2023","29972","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Tue Jan 24 11:04:31 GMT 2023","Tue Jan 24 11:05:40 GMT 2023","69777","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Tue Jan 24 11:09:22 GMT 2023","Tue Jan 24 11:09:41 GMT 2023","18323","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Tue Jan 24 11:04:31 GMT 2023","Tue Jan 24 11:05:17 GMT 2023","46525","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Tue Jan 24 11:06:14 GMT 2023","Tue Jan 24 11:07:07 GMT 2023","52995","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Tue Jan 24 11:05:31 GMT 2023","Tue Jan 24 11:06:13 GMT 2023","41408","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Tue Jan 24 11:08:19 GMT 2023","Tue Jan 24 11:08:56 GMT 2023","37093","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Tue Jan 24 11:05:18 GMT 2023","Tue Jan 24 11:06:03 GMT 2023","45180","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
