"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 24 09:55:09 GMT 2023","Fri Feb 24 09:56:02 GMT 2023","53688","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"failed","Fri Feb 24 09:54:14 GMT 2023","Fri Feb 24 09:54:59 GMT 2023","45510","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Fri Feb 24 09:58:26 GMT 2023","Fri Feb 24 09:59:06 GMT 2023","39724","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Fri Feb 24 09:57:53 GMT 2023","Fri Feb 24 09:58:26 GMT 2023","32455","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"failed","Fri Feb 24 09:55:00 GMT 2023","Fri Feb 24 09:55:48 GMT 2023","47584","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Fri Feb 24 09:57:57 GMT 2023","Fri Feb 24 09:58:31 GMT 2023","34310","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Fri Feb 24 09:58:32 GMT 2023","Fri Feb 24 09:59:03 GMT 2023","30884","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"failed","Fri Feb 24 09:56:03 GMT 2023","Fri Feb 24 09:56:53 GMT 2023","49974","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"failed","Fri Feb 24 09:56:56 GMT 2023","Fri Feb 24 09:58:05 GMT 2023","69311","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"failed","Fri Feb 24 09:56:54 GMT 2023","Fri Feb 24 09:57:19 GMT 2023","24879","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"failed","Fri Feb 24 09:55:34 GMT 2023","Fri Feb 24 09:56:55 GMT 2023","80922","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"failed","Fri Feb 24 09:55:49 GMT 2023","Fri Feb 24 09:56:53 GMT 2023","63743","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Fri Feb 24 09:57:20 GMT 2023","Fri Feb 24 09:57:53 GMT 2023","32765","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"failed","Fri Feb 24 09:54:14 GMT 2023","Fri Feb 24 09:55:08 GMT 2023","53875","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"failed","Fri Feb 24 09:56:54 GMT 2023","Fri Feb 24 09:57:56 GMT 2023","62617","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Fri Feb 24 09:59:03 GMT 2023","Fri Feb 24 09:59:27 GMT 2023","23788","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"failed","Fri Feb 24 09:54:14 GMT 2023","Fri Feb 24 09:55:33 GMT 2023","79092","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
