"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62023","Edit Contact","Build Verification Test","Mon Jun 02 14:33:03 GMT 2025","passed","Mon Jun 02 14:34:05 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","34332","Delete Account","Build Verification Test","Mon Jun 02 14:32:52 GMT 2025","failed","Mon Jun 02 14:33:26 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","13959","Check that listview sorting exists and works","Build Verification Test","Mon Jun 02 14:34:01 GMT 2025","passed","Mon Jun 02 14:34:15 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","45488","Validate data from list view table by column name","Build Verification Test","Mon Jun 02 14:34:16 GMT 2025","passed","Mon Jun 02 14:35:01 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","29484","Create Contact","Build Verification Test","Mon Jun 02 14:32:07 GMT 2025","failed","Mon Jun 02 14:32:37 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","14048","Check that we can click on any button on case detail page","Build Verification Test","Mon Jun 02 14:33:36 GMT 2025","passed","Mon Jun 02 14:33:50 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","32792","Validate data from list view table by index","Build Verification Test","Mon Jun 02 14:35:02 GMT 2025","failed","Mon Jun 02 14:35:34 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","34112","Edit Lead","Build Verification Test","Mon Jun 02 14:33:01 GMT 2025","passed","Mon Jun 02 14:33:35 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","27918","Create Account","Build Verification Test","Mon Jun 02 14:32:07 GMT 2025","passed","Mon Jun 02 14:32:35 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","34345","Edit Account","Build Verification Test","Mon Jun 02 14:33:27 GMT 2025","passed","Mon Jun 02 14:34:01 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","36937","Check that values of cells could be interacted","Build Verification Test","Mon Jun 02 14:34:36 GMT 2025","failed","Mon Jun 02 14:35:13 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","37128","Account CRUD test in a different language (Spanish)","Build Verification Test","Mon Jun 02 14:34:06 GMT 2025","passed","Mon Jun 02 14:34:43 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","15109","Create account with several fields specified","Build Verification Test","Mon Jun 02 14:32:36 GMT 2025","passed","Mon Jun 02 14:32:51 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","24747","Delete Contact","Build Verification Test","Mon Jun 02 14:32:38 GMT 2025","failed","Mon Jun 02 14:33:02 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","23600","Delete Lead","Build Verification Test","Mon Jun 02 14:32:36 GMT 2025","passed","Mon Jun 02 14:33:00 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","28584","Create Lead","Build Verification Test","Mon Jun 02 14:32:07 GMT 2025","passed","Mon Jun 02 14:32:36 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","10182","Check that panel could be validated","Build Verification Test","Mon Jun 02 14:33:50 GMT 2025","passed","Mon Jun 02 14:34:01 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","13267","Check Error Message","Build Verification Test","Mon Jun 02 14:34:02 GMT 2025","passed","Mon Jun 02 14:34:15 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","18850","Check that correct case could be opened from table","Build Verification Test","Mon Jun 02 14:34:16 GMT 2025","passed","Mon Jun 02 14:34:35 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
