"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 08:05:12 GMT 2023","Thu Apr 20 08:05:29 GMT 2023","17266","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"skipped","Thu Apr 20 08:03:14 GMT 2023","Thu Apr 20 08:03:14 GMT 2023","3","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Thu Apr 20 08:03:14 GMT 2023","Thu Apr 20 08:03:39 GMT 2023","24137","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage","Check that we can click on any button on case detail page",""
"passed","Thu Apr 20 08:04:12 GMT 2023","Thu Apr 20 08:05:11 GMT 2023","59202","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Thu Apr 20 08:01:35 GMT 2023","Thu Apr 20 08:02:24 GMT 2023","49734","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"broken","Thu Apr 20 08:03:13 GMT 2023","Thu Apr 20 08:03:13 GMT 2023","0","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","setUp","Open browser",""
"passed","Thu Apr 20 08:04:21 GMT 2023","Thu Apr 20 08:04:50 GMT 2023","28106","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Thu Apr 20 08:02:55 GMT 2023","Thu Apr 20 08:04:38 GMT 2023","102957","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"skipped","Thu Apr 20 08:03:13 GMT 2023","Thu Apr 20 08:03:13 GMT 2023","4","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Thu Apr 20 08:02:25 GMT 2023","Thu Apr 20 08:03:30 GMT 2023","65121","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Thu Apr 20 08:00:34 GMT 2023","Thu Apr 20 08:01:35 GMT 2023","61390","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"skipped","Thu Apr 20 08:03:14 GMT 2023","Thu Apr 20 08:03:14 GMT 2023","0","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Thu Apr 20 08:01:48 GMT 2023","Thu Apr 20 08:02:55 GMT 2023","66138","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Thu Apr 20 08:00:34 GMT 2023","Thu Apr 20 08:01:34 GMT 2023","59955","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Thu Apr 20 08:03:39 GMT 2023","Thu Apr 20 08:04:00 GMT 2023","20555","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Thu Apr 20 08:04:01 GMT 2023","Thu Apr 20 08:04:21 GMT 2023","19907","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"failed","Thu Apr 20 08:04:39 GMT 2023","Thu Apr 20 08:05:17 GMT 2023","38054","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish","Account CRUD test in a different language (Spanish)",""
"passed","Thu Apr 20 08:00:34 GMT 2023","Thu Apr 20 08:01:48 GMT 2023","74158","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Thu Apr 20 08:03:31 GMT 2023","Thu Apr 20 08:04:11 GMT 2023","40095","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"broken","Thu Apr 20 08:04:50 GMT 2023","Thu Apr 20 08:04:59 GMT 2023","8572","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
