"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 15:57:04 GMT 2023","Fri Apr 14 15:57:57 GMT 2023","53313","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Fri Apr 14 15:57:04 GMT 2023","Fri Apr 14 15:58:08 GMT 2023","64322","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Fri Apr 14 15:58:09 GMT 2023","Fri Apr 14 15:58:54 GMT 2023","45101","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Fri Apr 14 15:57:04 GMT 2023","Fri Apr 14 15:57:33 GMT 2023","28867","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Fri Apr 14 15:58:35 GMT 2023","Fri Apr 14 15:59:25 GMT 2023","49462","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Fri Apr 14 15:59:20 GMT 2023","Fri Apr 14 15:59:37 GMT 2023","17199","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Fri Apr 14 15:59:25 GMT 2023","Fri Apr 14 16:00:33 GMT 2023","67782","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Fri Apr 14 15:58:09 GMT 2023","Fri Apr 14 15:59:20 GMT 2023","71530","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Fri Apr 14 15:59:51 GMT 2023","Fri Apr 14 16:00:14 GMT 2023","22943","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Fri Apr 14 15:58:55 GMT 2023","Fri Apr 14 15:59:19 GMT 2023","24439","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage","Check that we can click on any button on case detail page",""
"passed","Fri Apr 14 15:59:21 GMT 2023","Fri Apr 14 16:00:45 GMT 2023","84164","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Fri Apr 14 16:00:34 GMT 2023","Fri Apr 14 16:01:11 GMT 2023","37431","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Fri Apr 14 15:57:58 GMT 2023","Fri Apr 14 15:58:35 GMT 2023","37177","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Fri Apr 14 16:01:12 GMT 2023","Fri Apr 14 16:01:58 GMT 2023","46284","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Fri Apr 14 15:57:33 GMT 2023","Fri Apr 14 15:58:08 GMT 2023","34447","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Fri Apr 14 15:59:38 GMT 2023","Fri Apr 14 15:59:51 GMT 2023","12873","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Fri Apr 14 16:00:15 GMT 2023","Fri Apr 14 16:00:45 GMT 2023","30302","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Fri Apr 14 16:01:58 GMT 2023","Fri Apr 14 16:02:16 GMT 2023","17169","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Fri Apr 14 16:00:46 GMT 2023","Fri Apr 14 16:01:28 GMT 2023","42191","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish","Account CRUD test in a different language (Spanish)",""
