"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 03 10:12:20 GMT 2023","Fri Mar 03 10:12:38 GMT 2023","18603","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Fri Mar 03 10:13:07 GMT 2023","Fri Mar 03 10:14:18 GMT 2023","70469","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Fri Mar 03 10:13:12 GMT 2023","Fri Mar 03 10:13:58 GMT 2023","45951","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"failed","Fri Mar 03 10:12:39 GMT 2023","Fri Mar 03 10:13:12 GMT 2023","32465","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Fri Mar 03 10:14:19 GMT 2023","Fri Mar 03 10:14:41 GMT 2023","22056","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Fri Mar 03 10:14:41 GMT 2023","Fri Mar 03 10:15:04 GMT 2023","23264","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Fri Mar 03 10:14:01 GMT 2023","Fri Mar 03 10:14:18 GMT 2023","17559","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Fri Mar 03 10:12:21 GMT 2023","Fri Mar 03 10:12:53 GMT 2023","32694","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Fri Mar 03 10:11:40 GMT 2023","Fri Mar 03 10:12:20 GMT 2023","40531","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Fri Mar 03 10:11:40 GMT 2023","Fri Mar 03 10:12:19 GMT 2023","39432","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Fri Mar 03 10:11:40 GMT 2023","Fri Mar 03 10:12:26 GMT 2023","46858","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Fri Mar 03 10:12:27 GMT 2023","Fri Mar 03 10:13:07 GMT 2023","39837","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Fri Mar 03 10:14:17 GMT 2023","Fri Mar 03 10:15:05 GMT 2023","48195","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Fri Mar 03 10:12:54 GMT 2023","Fri Mar 03 10:13:41 GMT 2023","47079","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Fri Mar 03 10:13:59 GMT 2023","Fri Mar 03 10:14:16 GMT 2023","17087","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Fri Mar 03 10:13:42 GMT 2023","Fri Mar 03 10:14:00 GMT 2023","18017","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Fri Mar 03 10:15:05 GMT 2023","Fri Mar 03 10:15:22 GMT 2023","16874","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
