"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 11 09:17:21 GMT 2023","Wed Jan 11 09:18:10 GMT 2023","49843","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Wed Jan 11 09:17:10 GMT 2023","Wed Jan 11 09:18:12 GMT 2023","62602","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"failed","Wed Jan 11 09:19:00 GMT 2023","Wed Jan 11 09:19:39 GMT 2023","39133","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Wed Jan 11 09:19:20 GMT 2023","Wed Jan 11 09:19:54 GMT 2023","34019","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Wed Jan 11 09:18:11 GMT 2023","Wed Jan 11 09:19:19 GMT 2023","68092","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Wed Jan 11 09:16:41 GMT 2023","Wed Jan 11 09:17:20 GMT 2023","38074","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Wed Jan 11 09:18:13 GMT 2023","Wed Jan 11 09:18:34 GMT 2023","21095","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Wed Jan 11 09:16:54 GMT 2023","Wed Jan 11 09:18:02 GMT 2023","68768","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Wed Jan 11 09:15:48 GMT 2023","Wed Jan 11 09:16:53 GMT 2023","64211","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Wed Jan 11 09:15:48 GMT 2023","Wed Jan 11 09:16:30 GMT 2023","41266","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Wed Jan 11 09:18:35 GMT 2023","Wed Jan 11 09:18:59 GMT 2023","23648","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Wed Jan 11 09:15:48 GMT 2023","Wed Jan 11 09:16:41 GMT 2023","52152","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Wed Jan 11 09:16:31 GMT 2023","Wed Jan 11 09:17:09 GMT 2023","38190","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Wed Jan 11 09:18:03 GMT 2023","Wed Jan 11 09:19:38 GMT 2023","95295","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
