"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12446","Check Error Message","Build Verification Test","Wed May 28 06:23:26 GMT 2025","passed","Wed May 28 06:23:39 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","27264","Create Account","Build Verification Test","Wed May 28 06:21:44 GMT 2025","passed","Wed May 28 06:22:11 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","39567","Edit Lead","Build Verification Test","Wed May 28 06:22:42 GMT 2025","passed","Wed May 28 06:23:22 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","35065","Edit Account","Build Verification Test","Wed May 28 06:22:51 GMT 2025","passed","Wed May 28 06:23:26 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","28427","Delete Lead","Build Verification Test","Wed May 28 06:22:13 GMT 2025","passed","Wed May 28 06:22:42 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","21809","Delete Account","Build Verification Test","Wed May 28 06:22:28 GMT 2025","passed","Wed May 28 06:22:50 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","14824","Create account with several fields specified","Build Verification Test","Wed May 28 06:22:12 GMT 2025","passed","Wed May 28 06:22:27 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","47989","Validate data from list view table by column name","Build Verification Test","Wed May 28 06:23:39 GMT 2025","passed","Wed May 28 06:24:27 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","59590","Account CRUD test in a different language (Spanish)","Build Verification Test","Wed May 28 06:23:58 GMT 2025","passed","Wed May 28 06:24:57 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","59989","Edit Contact","Build Verification Test","Wed May 28 06:22:57 GMT 2025","passed","Wed May 28 06:23:57 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","28466","Create Lead","Build Verification Test","Wed May 28 06:21:44 GMT 2025","passed","Wed May 28 06:22:13 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","13783","Check that values of cells could be interacted","Build Verification Test","Wed May 28 06:24:20 GMT 2025","passed","Wed May 28 06:24:34 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","14755","Check that we can click on any button on case detail page","Build Verification Test","Wed May 28 06:23:23 GMT 2025","passed","Wed May 28 06:23:38 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","34686","Delete Contact","Build Verification Test","Wed May 28 06:22:21 GMT 2025","passed","Wed May 28 06:22:56 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","14487","Validate data from list view table by index","Build Verification Test","Wed May 28 06:24:28 GMT 2025","passed","Wed May 28 06:24:42 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","36196","Create Contact","Build Verification Test","Wed May 28 06:21:44 GMT 2025","passed","Wed May 28 06:22:20 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","10377","Check that panel could be validated","Build Verification Test","Wed May 28 06:23:38 GMT 2025","passed","Wed May 28 06:23:49 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","17830","Check that correct case could be opened from table","Build Verification Test","Wed May 28 06:24:02 GMT 2025","passed","Wed May 28 06:24:20 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","11802","Check that listview sorting exists and works","Build Verification Test","Wed May 28 06:23:49 GMT 2025","passed","Wed May 28 06:24:01 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
