"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47132","Create Lead","Build Verification Test","Wed Apr 23 08:46:06 GMT 2025","passed","Wed Apr 23 08:46:53 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","43053","Delete Account","Build Verification Test","Wed Apr 23 08:47:34 GMT 2025","passed","Wed Apr 23 08:48:17 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","11231","Check that panel could be validated","Build Verification Test","Wed Apr 23 08:48:52 GMT 2025","passed","Wed Apr 23 08:49:03 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","18547","Check that correct case could be opened from table","Build Verification Test","Wed Apr 23 08:49:19 GMT 2025","passed","Wed Apr 23 08:49:37 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","17182","Validate data from list view table by index","Build Verification Test","Wed Apr 23 08:50:34 GMT 2025","passed","Wed Apr 23 08:50:51 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","38162","Create account with several fields specified","Build Verification Test","Wed Apr 23 08:46:55 GMT 2025","passed","Wed Apr 23 08:47:33 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","57861","Delete Contact","Build Verification Test","Wed Apr 23 08:47:02 GMT 2025","passed","Wed Apr 23 08:48:00 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","45579","Delete Lead","Build Verification Test","Wed Apr 23 08:46:55 GMT 2025","passed","Wed Apr 23 08:47:40 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","47480","Create Account","Build Verification Test","Wed Apr 23 08:46:06 GMT 2025","passed","Wed Apr 23 08:46:54 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","42684","Validate data from list view table by column name","Build Verification Test","Wed Apr 23 08:49:51 GMT 2025","passed","Wed Apr 23 08:50:34 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","37613","Account CRUD test in a different language (Spanish)","Build Verification Test","Wed Apr 23 08:49:26 GMT 2025","passed","Wed Apr 23 08:50:03 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","55528","Create Contact","Build Verification Test","Wed Apr 23 08:46:06 GMT 2025","passed","Wed Apr 23 08:47:02 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","14123","Check that listview sorting exists and works","Build Verification Test","Wed Apr 23 08:49:04 GMT 2025","passed","Wed Apr 23 08:49:18 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","54526","Edit Lead","Build Verification Test","Wed Apr 23 08:47:41 GMT 2025","passed","Wed Apr 23 08:48:35 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","56387","Edit Account","Build Verification Test","Wed Apr 23 08:48:17 GMT 2025","passed","Wed Apr 23 08:49:14 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","83574","Edit Contact","Build Verification Test","Wed Apr 23 08:48:01 GMT 2025","passed","Wed Apr 23 08:49:25 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","19782","Check that values of cells could be interacted","Build Verification Test","Wed Apr 23 08:49:38 GMT 2025","passed","Wed Apr 23 08:49:57 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","35448","Check Error Message","Build Verification Test","Wed Apr 23 08:49:15 GMT 2025","passed","Wed Apr 23 08:49:50 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","14899","Check that we can click on any button on case detail page","Build Verification Test","Wed Apr 23 08:48:36 GMT 2025","passed","Wed Apr 23 08:48:51 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
