"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11979","Check that values of cells could be interacted","Build Verification Test","Wed May 28 08:20:08 GMT 2025","passed","Wed May 28 08:20:20 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","45632","Validate data from list view table by column name","Build Verification Test","Wed May 28 08:19:38 GMT 2025","passed","Wed May 28 08:20:24 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","10577","Check that panel could be validated","Build Verification Test","Wed May 28 08:19:23 GMT 2025","passed","Wed May 28 08:19:34 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","29539","Delete Lead","Build Verification Test","Wed May 28 08:17:54 GMT 2025","passed","Wed May 28 08:18:24 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","62079","Account CRUD test in a different language (Spanish)","Build Verification Test","Wed May 28 08:19:44 GMT 2025","passed","Wed May 28 08:20:46 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","22356","Delete Account","Build Verification Test","Wed May 28 08:18:10 GMT 2025","passed","Wed May 28 08:18:32 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","61516","Edit Contact","Build Verification Test","Wed May 28 08:18:42 GMT 2025","passed","Wed May 28 08:19:43 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","16479","Validate data from list view table by index","Build Verification Test","Wed May 28 08:20:25 GMT 2025","passed","Wed May 28 08:20:41 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","41742","Create Contact","Build Verification Test","Wed May 28 08:17:24 GMT 2025","passed","Wed May 28 08:18:06 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","14712","Check Error Message","Build Verification Test","Wed May 28 08:19:23 GMT 2025","passed","Wed May 28 08:19:37 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","29457","Create Lead","Build Verification Test","Wed May 28 08:17:24 GMT 2025","passed","Wed May 28 08:17:53 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","13437","Check that listview sorting exists and works","Build Verification Test","Wed May 28 08:19:34 GMT 2025","passed","Wed May 28 08:19:48 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","34138","Delete Contact","Build Verification Test","Wed May 28 08:18:06 GMT 2025","passed","Wed May 28 08:18:41 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","28266","Create Account","Build Verification Test","Wed May 28 08:17:24 GMT 2025","passed","Wed May 28 08:17:52 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","15860","Create account with several fields specified","Build Verification Test","Wed May 28 08:17:54 GMT 2025","passed","Wed May 28 08:18:09 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","48731","Edit Account","Build Verification Test","Wed May 28 08:18:33 GMT 2025","passed","Wed May 28 08:19:22 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
"","18596","Check that correct case could be opened from table","Build Verification Test","Wed May 28 08:19:49 GMT 2025","passed","Wed May 28 08:20:07 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","14582","Check that we can click on any button on case detail page","Build Verification Test","Wed May 28 08:19:08 GMT 2025","passed","Wed May 28 08:19:22 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","41963","Edit Lead","Build Verification Test","Wed May 28 08:18:25 GMT 2025","passed","Wed May 28 08:19:07 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
