"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 05:44:49 GMT 2023","Fri Feb 10 05:45:03 GMT 2023","13738","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
"passed","Fri Feb 10 05:41:34 GMT 2023","Fri Feb 10 05:42:20 GMT 2023","46530","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Fri Feb 10 05:42:22 GMT 2023","Fri Feb 10 05:42:56 GMT 2023","34388","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Fri Feb 10 05:43:26 GMT 2023","Fri Feb 10 05:44:38 GMT 2023","72080","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Fri Feb 10 05:45:28 GMT 2023","Fri Feb 10 05:45:39 GMT 2023","10938","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex","Validate data from list view table by index",""
"passed","Fri Feb 10 05:43:37 GMT 2023","Fri Feb 10 05:44:27 GMT 2023","49721","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Fri Feb 10 05:42:30 GMT 2023","Fri Feb 10 05:43:15 GMT 2023","45320","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Fri Feb 10 05:44:32 GMT 2023","Fri Feb 10 05:44:41 GMT 2023","8635","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Fri Feb 10 05:42:57 GMT 2023","Fri Feb 10 05:43:27 GMT 2023","30158","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Fri Feb 10 05:41:34 GMT 2023","Fri Feb 10 05:42:13 GMT 2023","39161","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Fri Feb 10 05:45:04 GMT 2023","Fri Feb 10 05:45:18 GMT 2023","14048","Build Verification Test","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName","Validate data from list view table by column name",""
"passed","Fri Feb 10 05:41:34 GMT 2023","Fri Feb 10 05:42:12 GMT 2023","38464","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Fri Feb 10 05:45:11 GMT 2023","Fri Feb 10 05:45:28 GMT 2023","16929","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Fri Feb 10 05:43:06 GMT 2023","Fri Feb 10 05:43:59 GMT 2023","53283","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Fri Feb 10 05:44:10 GMT 2023","Fri Feb 10 05:44:22 GMT 2023","12198","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Fri Feb 10 05:42:23 GMT 2023","Fri Feb 10 05:42:46 GMT 2023","23292","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Fri Feb 10 05:44:37 GMT 2023","Fri Feb 10 05:44:56 GMT 2023","19406","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
